4.8824,4.7986,4.7966,4.7121,4.7077,4.7084,4.697,4.7091,4.7849
0.30369,0.19635,0.15488,0.23363,0.23396,0.30254,0.24555,0.2704,0.21445
0.14805,0.10698,0.088802,0.10549,0.10683,0.12563,0.09023,0.099091,0.069744
0.12273,0.096216,0.087878,0.093214,0.092839,0.10437,0.062886,0.066309,0.052294
0.11705,0.093261,0.079552,0.086046,0.089627,0.09947,0.054217,0.058203,0.048819
0.11863,0.091363,0.077488,0.080069,0.078037,0.090361,0.05113,0.054605,0.045761
0.11347,0.091383,0.075936,0.075285,0.077398,0.084836,0.046895,0.051456,0.042481
0.11504,0.086229,0.072683,0.071126,0.069993,0.07725,0.046361,0.048848,0.040871
0.11413,0.089172,0.072595,0.070782,0.069362,0.080458,0.041405,0.047923,0.042854
0.10968,0.08665,0.068508,0.067051,0.065376,0.078157,0.040317,0.04539,0.040689
0.11087,0.087812,0.067428,0.064315,0.061633,0.075575,0.041728,0.043927,0.039003
0.11221,0.087909,0.065462,0.061091,0.063367,0.067831,0.039836,0.045009,0.036719
0.11156,0.087735,0.068349,0.061715,0.060518,0.071323,0.040605,0.044613,0.038885
0.10897,0.08562,0.06669,0.060273,0.05722,0.071394,0.036907,0.043463,0.03721
0.1158,0.085126,0.065113,0.060142,0.056547,0.067634,0.039042,0.044238,0.038249
