1.1103,1.1191,1.1883,1.1253
0.85626,1.1641,1.2323,1.1699
0.52472,1.1757,1.2436,1.1765
0.37057,1.1304,1.1976,1.131
0.20727,1.2134,1.2806,1.1825
0.28739,1.1619,1.2292,1.1445
0.10518,1.1819,1.2491,1.1217
0,1.2612,1.3277,1.14
1.3409,0.77784,0.30347,1.3553
1.4349,0.51518,0.80425,1.4492
1.3528,0.24784,1.0455,1.3579
1.2499,0,1.12,1.1337
1.5048,1.4786,1.5237,1.519
1.4401,1.45,1.2335,1.4543
1.524,1.5338,1.0867,1.5382
1.62,1.63,0.96885,1.634
1.575,1.585,0.69285,1.5891
1.4823,1.4475,0.39343,1.4965
1.4549,1.2576,0.14472,1.4691
1.5178,1.2021,0,1.532
0.80971,1.2722,1.3397,0.37958
1.1182,1.3213,1.4266,0.19108
1.2546,0.79495,1.3515,0.20064
1.2294,1.0954,1.3721,0
