0,0
0,0.00016667
0,0.00016667
0,0.00066667
0,0.001
0,0.00033333
0,0.0015
0,0.0026667
0.00016667,0.0031667
0,0.0023333
0.00066667,0.00033333
0.0035,0.004
0.0026667,0.0043333
0.0083333,0.0096667
0.019333,0.0073333
0.031833,0.011833
0.0465,0.0255
0.0605,0.0295
0.057,0.029
0.060667,0.056667
0.074167,0.087667
0.076333,0.090167
0.042667,0.095667
0.050667,0.11933
0.057167,0.11117
0.031833,0.10667
0.034333,0.080167
0.0335,0.042333
0.028167,0.030833
0.044167,0.018167
0.012667,0.013
0.02,0.005
0.027,0.0053333
0.032833,0.003
0.019833,0.0005
0.019333,0.00033333
0.020833,0.0005
0.0195,0
0.017833,0
0.013,0
0.0071667,0
0.006,0
0.0083333,0
0.0055,0
0.0015,0
0.0045,0
0,0
0,0
0,0
0,0
0,0
