0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.00011733
0,0,0,0
0.0016446,0,0,0
0.0070112,0,0,0.00011733
0.015667,0.0006628,0,0.00070398
0.033325,0.0023198,0,0.0019946
0.050636,0.0057995,0,0.0085651
0.069246,0.013256,0.00025954,0.020533
0.077902,0.026678,0.0036335,0.040948
0.074959,0.050539,0.0057098,0.060425
0.080931,0.059818,0.015053,0.068872
0.075132,0.079867,0.027251,0.089053
0.073314,0.083016,0.042564,0.092925
0.063533,0.085833,0.058137,0.093512
0.0528,0.076553,0.071113,0.076851
0.038258,0.071748,0.080457,0.064062
0.031334,0.052361,0.070594,0.051038
0.023457,0.042254,0.068518,0.040479
0.014715,0.032312,0.05632,0.030271
0.012637,0.027672,0.042824,0.024522
0.0099541,0.020713,0.036076,0.018655
0.0098676,0.016736,0.03374,0.015605
0.011166,0.013422,0.027251,0.01232
0.010647,0.015079,0.018946,0.01185
0.011945,0.013919,0.020504,0.010677
0.010041,0.012428,0.017389,0.011733
0.0096079,0.012759,0.01687,0.011968
0.0095213,0.012759,0.017389,0.009973
0.0080499,0.011433,0.015832,0.0095037
0.0078767,0.0092792,0.019984,0.0078611
0.0087423,0.009942,0.01713,0.0090344
0.0083095,0.010605,0.01713,0.0082131
0.0076171,0.011268,0.015572,0.009621
0.0076171,0.011433,0.017389,0.0071571
0.0080499,0.0097763,0.016351,0.0075091
0.009002,0.009942,0.014015,0.0069224
0.0077902,0.0077879,0.015313,0.0065705
0.0070977,0.008285,0.015832,0.0061011
0.0077902,0.010605,0.010122,0.0068051
0.0057128,0.0061309,0.013236,0.0064531
0.0057994,0.0067937,0.0083052,0.0053972
0.0056262,0.0067937,0.011679,0.0041065
0.0039816,0.0059652,0.0083052,0.0056318
0.003722,0.0064623,0.010122,0.0046932
0.0019908,0.0057995,0.0083052,0.0049278
0.0019908,0.0048053,0.0075266,0.0048105
0.0016446,0.0051367,0.0062289,0.0041065
0.0011252,0.0039768,0.0070075,0.0024639
0.00069246,0.0026512,0.0044121,0.0018773
0.00025967,0.0018227,0.0038931,0.0012906
0.00025967,0.0019884,0.0012977,0.00035199
0,0.001657,0.0015572,0.00070398
0,0.0006628,0.0018168,0.00011733
0,0.0001657,0.00051908,0
0,0.0003314,0.00051908,0
0,0,0,0
