0.017824,0.48202,1.529,0.37137
0.0078059,0.37445,1.3163,0.2777
0.0060962,0.36215,1.2935,0.27161
0.0058077,0.34712,1.255,0.25898
0.0047514,0.33055,1.2247,0.24437
0.0054832,0.35037,1.2583,0.2635
0.0070152,0.31948,1.2142,0.23456
0,0.34875,1.2579,0.26326
0.29357,0.026132,0.19092,0.068721
0.28152,0.014909,0.1969,0.047777
0.24228,0.010273,0.26731,0.027417
0.22223,0,0.29119,0.019768
0.762,0.30739,0.043894,0.44585
0.76656,0.30853,0.043016,0.43698
0.7169,0.26501,0.020091,0.38195
0.71892,0.26947,0.021479,0.38535
0.68404,0.24285,0.022534,0.35745
0.65303,0.21787,0.014418,0.3178
0.65328,0.21889,0.014676,0.32011
0.62269,0.20361,0,0.30302
0.1244,0.048336,0.59866,0.014463
0.14052,0.032236,0.51453,0.0062004
0.17396,0.016075,0.41314,0.0058888
0.16602,0.019126,0.44439,0
